_skip,.group.element.code,,,,.group.element.target.code,.group.element.target.display,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:Yes __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit,,250,,,,,,,,
x,Chew:Yes __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:Yes __ TobaccoUse:Quit,,248,,,,,,,,
x,Chew:Yes __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,246,,,,,,,,
x,Chew:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,246,,,,,,,,
x,Chew:Yes __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,246,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ Tobacco use __ TobaccoUse:Yes,,243,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ Tobacco use __ TobaccoUse:Yes,,243,,,,,,,,
x,"Chew:No __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Not Asked",,242,,,,,,,,
x,"Chew:No __ Cigarettes:Yes __ Cigars:Yes __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes",,242,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,241,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Passive Smoke Exposure - Never Smoker __ Snuff:No __ TobaccoUse:Passive __ TobaccoUseInYears:+,,240,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokingTobaccoUse:Passive Smoke Exposure - Never Smoker __ Snuff:No __ TobaccoUse:Passive,,239,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit,,237,,,,,,,,
x,"Chew:No __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Yes",,236,,,,,,,,
x,Chew:No __ Cigarettes:Yes __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,236,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes",,235,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Quit,,235,,,,,,,,
x,Chew:Yes __ Cigarettes:No __ Cigars:Yes __ Pipes:Yes __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit,,235,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes,,234,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ Tobacco use __ TobaccoUse:Yes __ TobaccoUseInYears:+,,233,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:Yes __ TobaccoUse:Quit __ TobaccoUseInYears:+,,230,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,230,,,,,,,,
x,"Chew:Yes __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Yes",,224,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ Tobacco use __ TobaccoUse:Quit __ TobaccoUseInYears:+,,223,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,220,,,,,,,,
x,Chew:Yes __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ Tobacco use __ TobaccoUse:Quit,,219,,,,,,,,
x,"Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,219,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUseInYears:+,,214,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:Yes __ Pipes:Yes __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit,,211,,,,,,,,
x,Chew:Yes __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:0,,209,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit",,209,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, with unspecified nicotine-induced disorders __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,206,,,,,,,,
x,Chew:Yes __ Cigarettes:No __ Cigars:Yes __ Pipes:Yes __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,206,,,,,,,,
x,"Chew:Yes __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Yes",,206,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:Yes __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,205,,,,,,,,
x,"Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ Tobacco use __ TobaccoUse:Yes __ TobaccoUseInYears:+",,203,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,203,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUseInYears:+,,202,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Yes,,201,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:0,,199,,,,,,,,
x,Chew:No __ Cigarettes:Yes __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,199,,,,,,,,
x,"Chew:No __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ Tobacco use",,199,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+",,199,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Quit,,198,,,,,,,,
x,Chew:Yes __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,197,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,196,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:Yes __ TobaccoUse:Yes __ TobaccoUseInYears:+",,196,,,,,,,,
x,"Chew:No __ Cigarettes:No __ Cigars:Yes __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,196,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:0,,195,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:Yes __ TobaccoUse:Quit __ TobaccoUseInYears:+,,194,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:Yes __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,194,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,194,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ Tobacco use __ TobaccoUse:Yes __ TobaccoUseInYears:+,,193,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ Tobacco use __ TobaccoUse:Quit __ TobaccoUseInYears:+,,193,,,,,,,,
x,Chew:No __ Cigarettes:Yes __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never,,192,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:Yes __ TobaccoUse:Yes,,189,,,,,,,,
x,Chew:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,188,,,,,,,,
x,"Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+",,185,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ Tobacco use __ TobaccoUse:Yes,,184,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokelessTobaccoUse:Unknown __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUse:Not Asked,,184,,,,,,,,
x,Chew:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:Yes __ TobaccoUse:Quit __ TobaccoUseInYears:+,,183,,,,,,,,
x,Chew:Yes __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Yes,,180,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Passive Smoke Exposure - Never Smoker __ Snuff:No __ TobaccoUse:Passive,,179,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes,,178,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Yes,,177,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Passive Smoke Exposure - Never Smoker __ Snuff:No __ TobaccoUse:Passive __ TobaccoUseInYears:+,,177,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit,,177,,,,,,,,
x,Chew:Yes __ Cigarettes:Yes __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,175,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,175,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Yes,,173,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:Yes __ TobaccoUse:Quit __ TobaccoUseInYears:+,,171,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUseInYears:0,,169,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,167,,,,,,,,
x,"Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:Yes __ TobaccoUse:Yes __ TobaccoUseInYears:+",,166,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,166,,,,,,,,
x,"Chew:No __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ Tobacco use __ TobaccoUse:Yes __ TobaccoUseInYears:+",,166,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:Yes __ TobaccoUse:Yes __ TobaccoUseInYears:+",,165,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:Yes __ TobaccoUse:Quit __ TobaccoUseInYears:+,,165,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:Yes __ TobaccoUse:Quit __ TobaccoUseInYears:+,,165,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,164,,,,,,,,
x,"Chew:No __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Quit",,164,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+",,164,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Passive Smoke Exposure - Never Smoker __ Snuff:No __ TobaccoUse:Passive,,163,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No,,163,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Passive Smoke Exposure - Never Smoker __ Snuff:No __ TobaccoUse:Passive __ TobaccoUseInYears:+,,163,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:0,,163,,,,,,,,
x,"Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,163,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,162,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Unknown __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never,,162,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:Yes __ TobaccoUse:Quit __ TobaccoUseInYears:+,,159,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ Tobacco use __ TobaccoUse:Quit,,159,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ Tobacco use __ TobaccoUse:Yes __ TobaccoUseInYears:+,,159,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:Yes __ Pipes:Yes __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,159,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Passive Smoke Exposure - Never Smoker __ Snuff:No __ TobaccoUse:Passive __ TobaccoUseInYears:0,,158,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,158,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUse:Yes __ TobaccoUseInYears:+",,157,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, with other nicotine-induced disorders __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,156,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:0,,155,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,155,,,,,,,,
x,"Chew:No __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Quit",,154,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,154,,,,,,,,
x,Chew:Yes __ Cigarettes:Yes __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Quit,,153,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:0,,152,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,151,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Yes,,151,,,,,,,,
x,"Chew:No __ Cigarettes:No __ Cigars:Yes __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Yes",,151,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,150,,,,,,,,
x,Chew:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:0,,150,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes,,150,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUseInYears:+,,149,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Passive Smoke Exposure - Never Smoker __ Snuff:No __ TobaccoUse:Passive __ TobaccoUseInYears:+,,147,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ Tobacco use __ TobaccoUse:Yes __ TobaccoUseInYears:+,,147,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:Yes __ TobaccoUse:Yes __ TobaccoUseInYears:+,,147,,,,,,,,
x,"Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,145,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit,,145,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:0,,144,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:0,,143,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ Tobacco use __ TobaccoUse:Yes,,143,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Passive Smoke Exposure - Never Smoker __ Snuff:No __ TobaccoUse:Passive __ TobaccoUseInYears:0,,143,,,,,,,,
